id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
25c37665-04bc-4db1-8094-ebfb87801e80,512,512,2,1024,1024,18656674.46,one_way,Nearest Neighbor,56.2038,4.791231791,41.32633179,0.990569497,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,512,512,2,1024,1024,24937298.6,one_way,Nearest Neighbor,42.0485,7.159909566,39.58172824,0.976364081,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,512,512,2,1024,1024,19865413.76,one_way,Nearest Neighbor,52.784,10.00830841,38.12719681,0.966403872,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,500,480,2,1000,960,21398670.61,one_way,Nearest Neighbor,44.8626,66.08494167,29.9297785,0.959520618,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,288,288,2,576,576,19039136.92,one_way,Nearest Neighbor,17.426,2.471261735,44.20161616,0.996396589,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,256,256,2,512,512,16655907.69,one_way,Nearest Neighbor,15.7388,21.209493,34.86550074,0.989254586,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,256,256,2,512,512,17654815.7,one_way,Nearest Neighbor,14.8483,43.81483968,31.71459134,0.982748884,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,128,128,2,256,256,13782254.84,one_way,Nearest Neighbor,4.7551,6.454813639,40.03196653,0.991867842,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,1024,1024,2,2048,2048,18905916.3,one_way,Nearest Neighbor,221.8514,58.90184498,30.42951462,0.97800352,10,False,-
25c37665-04bc-4db1-8094-ebfb87801e80,1024,1024,2,2048,2048,22417025.87,one_way,Nearest Neighbor,187.1035,10.81580989,37.79021316,0.991347544,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,512,512,2,1024,1024,20234615.76,one_way,Bilinear,51.8209,3.106753031,43.2077363,0.993578986,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,512,512,2,1024,1024,20283778.22,one_way,Bilinear,51.6953,3.729143778,42.41471233,0.984425752,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,512,512,2,1024,1024,20124441.99,one_way,Bilinear,52.1046,5.18225352,40.98561706,0.978848668,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,500,480,2,1000,960,19916888.48,one_way,Bilinear,48.2003,34.25610833,32.78342337,0.968454746,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,288,288,2,576,576,18818831.54,one_way,Bilinear,17.63,1.612280575,46.05639739,0.997125696,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,256,256,2,512,512,16236049,one_way,Bilinear,16.1458,12.46870422,37.17259038,0.992538859,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,256,256,2,512,512,17264375.23,one_way,Bilinear,15.1841,26.92367045,33.82946095,0.985803597,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,128,128,2,256,256,13788054.11,one_way,Bilinear,4.7531,3.765034993,42.37311344,0.99414958,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,1024,1024,2,2048,2048,18525455.86,one_way,Bilinear,226.4076,39.42166297,32.1734542,0.980339479,10,False,-
e79d8718-4a6f-47eb-9e4d-028d9430767c,1024,1024,2,2048,2048,23210304.76,one_way,Bilinear,180.7087,6.1086092,40.27138019,0.993921711,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,512,512,2,1024,1024,20092474.25,one_way,Bicubic,52.1875,0.213750203,54.83173824,0.999708741,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,512,512,2,1024,1024,19333579.17,one_way,Bicubic,54.236,0.127490997,57.07600842,0.999576801,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,512,512,2,1024,1024,19413831.79,one_way,Bicubic,54.0118,0.311112722,53.20162591,0.999216839,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,500,480,2,1000,960,18459798.98,one_way,Bicubic,52.0049,0.679670833,49.80781727,0.999453313,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,288,288,2,576,576,17722887.58,one_way,Bicubic,18.7202,0.106658308,57.85085673,0.999769036,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,256,256,2,512,512,15678281.36,one_way,Bicubic,16.7202,0.421849569,51.87922751,0.999700147,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,256,256,2,512,512,16155201.95,one_way,Bicubic,16.2266,0.871459961,48.72832923,0.999472511,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,128,128,2,256,256,12661025.46,one_way,Bicubic,5.1762,0.145589193,56.49951223,0.999720475,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,1024,1024,2,2048,2048,17331190.16,one_way,Bicubic,242.009,0.655815442,49.96298722,0.999584484,10,False,-
4261c701-2b3a-4db0-aa19-945e34e5e0dc,1024,1024,2,2048,2048,22410534,one_way,Bicubic,187.1577,0.244252205,54.25241868,0.999735334,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,512,512,2,1024,1024,18892308.14,one_way,Lanczos,55.5028,0.155626933,56.20995603,0.99976724,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,512,512,2,1024,1024,17962358.01,one_way,Lanczos,58.3763,0.087554932,58.70799748,0.999692022,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,512,512,2,1024,1024,18014943.5,one_way,Lanczos,58.2059,0.200080872,55.1187479,0.999590978,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,500,480,2,1000,960,17739440.87,one_way,Lanczos,54.1167,0.538331944,50.82030209,0.999604997,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,288,288,2,576,576,16855710.17,one_way,Lanczos,19.6833,0.059811439,60.36296109,0.9998573,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,256,256,2,512,512,14669912.42,one_way,Lanczos,17.8695,0.304890951,53.28935827,0.999761243,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,256,256,2,512,512,15305623.19,one_way,Lanczos,17.1273,0.644353231,50.0395635,0.999563135,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,128,128,2,256,256,10874276.14,one_way,Lanczos,6.0267,0.104939779,57.92140217,0.999802902,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,1024,1024,2,2048,2048,15988765.22,one_way,Lanczos,262.3282,0.634417852,50.10704966,0.999638908,10,False,-
ee1bad69-bbcf-4372-9c12-281a16711106,1024,1024,2,2048,2048,20256085.2,one_way,Lanczos,207.0639,0.181928635,55.53179301,0.999784291,10,False,-
0c1674f5-53bd-4a29-b730-f32611a08be9,512,512,2,1024,1024,5138831.509,one_way,Super-Resolution,204.0495,1.464677175,46.47338447,0.992252298,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,512,512,2,1024,1024,5268617.195,one_way,Super-Resolution,199.023,2.02721405,45.06180753,0.989033648,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,512,512,2,1024,1024,5254131.723,one_way,Super-Resolution,199.5717,3.418093363,42.7929644,0.98298546,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,500,480,2,1000,960,4775929.316,one_way,Super-Resolution,201.008,12.58695417,37.1315971,0.982502829,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,288,288,2,576,576,4413699.155,one_way,Super-Resolution,75.1696,0.795793949,49.12279728,0.996316365,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,256,256,2,512,512,4301186.771,one_way,Super-Resolution,60.9469,1.21925354,47.26986336,0.997311157,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,256,256,2,512,512,4844300.633,one_way,Super-Resolution,54.1139,1.047317505,47.93001998,0.998873309,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,128,128,2,256,256,3826428.138,one_way,Super-Resolution,17.1272,0.852701823,48.82283169,0.996937325,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,1024,1024,2,2048,2048,5288394.568,one_way,Super-Resolution,793.1148,1.847276052,45.46548561,0.998520762,10,True,espcn
0c1674f5-53bd-4a29-b730-f32611a08be9,1024,1024,2,2048,2048,5608861.734,one_way,Super-Resolution,747.7995,0.924181938,48.47322884,0.967966345,10,True,espcn
