id,width_init,height_init,scale_first,scale_second,width_inter,height_inter,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
965177ca-02dd-4644-b81b-b38a16d8775b,512,512,0.5,2,256,256,512,512,2055094.894,reconstruct,Nearest Neighbor,127.5581,172.2901751,25.76819848,0.851306333,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,706,490,0.5,2,353,245,706,490,7034560.731,reconstruct,Nearest Neighbor,49.1772,173.395266,25.74043124,0.905039493,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,749,768,0.5,2,374,384,748,768,8862846.379,reconstruct,Nearest Neighbor,64.8171,466.0126036,21.44682698,0.744465293,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,720,576,0.5,2,360,288,720,576,5966533.204,reconstruct,Nearest Neighbor,69.5077,118.9260176,27.37803485,0.758527582,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,768,512,0.5,2,384,256,768,512,6824143.155,reconstruct,Nearest Neighbor,57.6213,426.4020708,21.83261056,0.716919834,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,768,512,0.5,2,384,256,768,512,7734199.822,reconstruct,Nearest Neighbor,50.8412,133.8123949,26.86584017,0.763707072,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,512,768,0.5,2,256,384,512,768,6631911.825,reconstruct,Nearest Neighbor,59.2915,114.0491113,27.55988456,0.833903871,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,512,512,0.5,2,256,256,512,512,6500442.63,reconstruct,Nearest Neighbor,40.3271,114.6010551,27.53891745,0.749363319,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,512,512,0.5,2,256,256,512,512,6077306.311,reconstruct,Nearest Neighbor,43.1349,165.0268809,25.9552567,0.73232849,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,1024,768,0.5,2,512,384,1024,768,13834064.82,reconstruct,Nearest Neighbor,56.8475,137.9924732,26.73224962,0.903025789,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,529,656,0.5,2,264,328,528,656,5646920.725,reconstruct,Nearest Neighbor,61.3375,856.7340069,18.80234355,0.835349651,12,False,-
965177ca-02dd-4644-b81b-b38a16d8775b,787,576,0.5,2,394,288,788,576,6410467.176,reconstruct,Nearest Neighbor,70.8042,51.60801097,31.0036324,0.883854116,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,512,512,0.5,2,256,256,512,512,17653507.89,reconstruct,Bilinear,14.8494,66.9177386,29.87539105,0.912844111,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,706,490,0.5,2,353,245,706,490,21492162.7,reconstruct,Bilinear,16.0961,71.55970399,29.58411825,0.940363812,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,749,768,0.5,2,374,384,748,768,25164664.76,reconstruct,Bilinear,22.8282,198.8410734,25.14574262,0.833133859,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,720,576,0.5,2,360,288,720,576,17719593.58,reconstruct,Bilinear,23.4046,55.06192692,30.72228955,0.832478326,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,768,512,0.5,2,384,256,768,512,12182205.16,reconstruct,Bilinear,32.2779,213.3367564,24.84014673,0.794644682,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,768,512,0.5,2,384,256,768,512,13033949.21,reconstruct,Bilinear,30.1686,70.46484545,29.65107857,0.81244033,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,512,768,0.5,2,256,384,512,768,13513227.44,reconstruct,Bilinear,29.0986,55.28666094,30.7046,0.89398997,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,512,512,0.5,2,256,256,512,512,17206356.29,reconstruct,Bilinear,15.2353,46.31600189,31.47349298,0.835449115,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,512,512,0.5,2,256,256,512,512,17597218.21,reconstruct,Bilinear,14.8969,66.70113118,29.88947162,0.819946794,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,1024,768,0.5,2,512,384,1024,768,21932025.76,reconstruct,Bilinear,35.8577,63.27223333,30.11867197,0.934849407,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,529,656,0.5,2,264,328,528,656,19976468.96,reconstruct,Bilinear,17.3388,322.7152483,23.04260875,0.908888711,12,False,-
b41e2d17-d4f2-4bfd-ae56-a40c6bfd55fa,787,576,0.5,2,394,288,788,576,18190737.27,reconstruct,Bilinear,24.9516,32.90830745,32.95774815,0.91176746,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,512,512,0.5,2,256,256,512,512,17992408.9,reconstruct,Bicubic,14.5697,47.64909236,31.35025728,0.935140153,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,706,490,0.5,2,353,245,706,490,18920160.58,reconstruct,Bicubic,18.2842,54.59938043,30.75892646,0.945474809,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,749,768,0.5,2,374,384,748,768,24404153,reconstruct,Bicubic,23.5396,182.8544912,25.50974729,0.865207993,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,720,576,0.5,2,360,288,720,576,16549346.36,reconstruct,Bicubic,25.0596,46.51217207,31.4551374,0.86661918,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,768,512,0.5,2,384,256,768,512,12246209.81,reconstruct,Bicubic,32.1092,152.9796109,26.28446809,0.864929416,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,768,512,0.5,2,384,256,768,512,14122818.99,reconstruct,Bicubic,27.8426,65.03829363,29.99911222,0.848919133,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,512,768,0.5,2,256,384,512,768,13478164,reconstruct,Bicubic,29.1743,42.29131487,31.86829173,0.922853659,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,512,512,0.5,2,256,256,512,512,17002795.49,reconstruct,Bicubic,15.4177,34.45903651,32.75777231,0.85984262,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,512,512,0.5,2,256,256,512,512,17651724.81,reconstruct,Bicubic,14.8509,56.37196986,30.6201715,0.835751982,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,1024,768,0.5,2,512,384,1024,768,22217036.7,reconstruct,Bicubic,35.3977,54.74311235,30.74750876,0.948176607,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,529,656,0.5,2,264,328,528,656,15608489.93,reconstruct,Bicubic,22.191,275.9842095,23.72196126,0.927664693,12,False,-
2cb37744-6dff-4102-a77e-a7b4f0495a5e,787,576,0.5,2,394,288,788,576,17974196.31,reconstruct,Bicubic,25.2522,30.48363599,33.29013594,0.917127766,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,512,512,0.5,2,256,256,512,512,14165198.69,reconstruct,Lanczos,18.5062,52.69823964,30.91284253,0.924594548,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,706,490,0.5,2,353,245,706,490,15310805.73,reconstruct,Lanczos,22.5945,64.53358097,30.03294596,0.928996897,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,749,768,0.5,2,374,384,748,768,20608943.66,reconstruct,Lanczos,27.8745,213.7084452,24.83258676,0.848043908,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,720,576,0.5,2,360,288,720,576,14700700.79,reconstruct,Lanczos,28.2109,57.78944911,30.51231806,0.840418324,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,768,512,0.5,2,384,256,768,512,10916844.35,reconstruct,Lanczos,36.0192,181.9927851,25.5302619,0.841398641,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,768,512,0.5,2,384,256,768,512,12157045.82,reconstruct,Lanczos,32.3447,79.28981866,29.13862936,0.824608074,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,512,768,0.5,2,256,384,512,768,12151635.86,reconstruct,Lanczos,32.3591,51.15479448,31.04194017,0.907990052,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,512,512,0.5,2,256,256,512,512,14198804.06,reconstruct,Lanczos,18.4624,40.96939087,32.00620854,0.836124078,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,512,512,0.5,2,256,256,512,512,14286243.69,reconstruct,Lanczos,18.3494,64.6873792,30.02260805,0.811487258,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,1024,768,0.5,2,512,384,1024,768,18797883.17,reconstruct,Lanczos,41.8362,65.44814089,29.97183046,0.93501997,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,529,656,0.5,2,264,328,528,656,14668467.93,reconstruct,Lanczos,23.6131,289.3135739,23.51711551,0.913910437,12,False,-
a6fe7d02-6309-4fc9-8593-3438e6a638ba,787,576,0.5,2,394,288,788,576,15591203.57,reconstruct,Lanczos,29.1118,32.77134733,32.97586064,0.905705546,12,False,-
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,512,0.5,2,256,256,512,512,4687931.987,reconstruct,Super-Resolution,55.9189,42.4192098,31.85517787,0.934033523,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,706,490,0.5,2,353,245,706,490,4595487.14,reconstruct,Super-Resolution,75.2782,33.9779191,32.81883583,0.962115886,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,749,768,0.5,2,374,384,748,768,5249756.001,reconstruct,Super-Resolution,109.4268,173.8674616,25.72862047,0.869760555,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,720,576,0.5,2,360,288,720,576,4515674.526,reconstruct,Super-Resolution,91.8401,42.83595679,31.81271889,0.870034082,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,768,512,0.5,2,384,256,768,512,4157250.152,reconstruct,Super-Resolution,94.5856,111.1123318,27.67318099,0.891399252,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,768,512,0.5,2,384,256,768,512,4632774.485,reconstruct,Super-Resolution,84.877,61.87690565,30.21551774,0.854441819,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,768,0.5,2,256,384,512,768,4258617.067,reconstruct,Super-Resolution,92.3342,34.60071225,32.73995322,0.931075379,12,True,espcn
abc924ef-e3d3-419e-ae06-a40dda313a0b,512,512,0.5,2,256,256,512,512,4373841.444,reconstruct,Super-Resolution,59.9345,31.32729721,33.17157433,0.861171418,12,True,espcn
